year,week,acute diarrhoea,acute upper respiratory infections,acute viral hepatitis b,campylobacterenterosis,dengue fever,dengue haemorrhagic fever,hand foot and mouth disease,malaria,measles,mumps,rubella,salmonellosis non enteric fevers ,chikungunya fever,pneumococcal disease invasive ,acute viral hepatitis c,acute upper respiratory tract infections
2015,29,555,NA,3,6,293,0,448,1,2,16,0,43,3,3,2,2455
2015,30,510,NA,0,7,250,0,438,2,0,5,0,30,0,6,0,2392
2015,31,516,NA,0,10,226,0,367,2,1,6,0,36,3,2,0,2475
2015,32,576,NA,0,7,221,0,478,1,0,7,0,41,1,4,0,2880
2015,33,517,NA,2,8,250,0,554,2,2,10,0,44,2,3,0,2810
2015,34,477,NA,0,8,225,0,533,1,0,10,0,50,0,5,0,2625
2015,35,439,NA,0,11,246,0,483,0,0,9,1,58,0,3,0,2423
2015,36,396,NA,1,9,217,0,407,3,0,7,0,42,1,5,1,2280
2015,37,413,NA,0,7,303,0,414,1,2,14,0,43,0,5,0,2821
2015,38,430,NA,4,11,214,0,403,1,1,2,0,41,1,1,1,2738
2015,39,395,NA,0,5,257,0,441,2,1,12,0,39,3,1,0,2929
2015,40,433,NA,1,6,235,0,431,1,0,8,1,47,1,0,24,2619
2015,41,443,NA,2,4,235,0,585,1,1,8,0,42,4,2,2,2529
2015,42,452,NA,0,10,224,0,477,0,1,6,0,51,1,3,3,2612
2015,43,432,NA,0,10,246,0,438,1,1,12,2,39,0,4,1,2588
2015,44,453,NA,7,9,266,0,502,0,0,6,0,40,2,1,1,2533
2015,45,519,NA,2,8,198,0,523,0,0,9,0,58,1,0,1,2721
2015,46,460,NA,1,10,254,0,600,0,0,10,0,52,0,2,0,2673
2015,47,455,NA,1,6,285,1,610,4,2,10,0,48,1,2,1,2488
2015,48,447,NA,0,8,259,0,533,1,0,8,0,46,1,8,0,2455
2015,49,438,NA,1,9,356,1,568,0,0,6,1,41,0,1,0,2319
2015,50,429,NA,0,16,333,0,548,0,0,3,1,48,0,0,1,2304
2015,51,436,NA,2,7,372,0,432,1,1,11,0,58,0,2,0,2414
2015,52,468,NA,1,8,459,0,370,0,0,7,0,40,0,2,0,2494
2016,1,492,NA,3,14,549,0,418,1,0,8,1,58,1,2,0,2604
2016,2,513,NA,3,4,628,0,505,0,0,7,0,52,1,2,0,2775
2016,3,521,NA,0,9,635,1,588,0,0,11,0,49,0,1,0,2946
2016,4,529,NA,2,6,629,1,587,0,0,10,0,42,1,3,0,3111
2016,5,519,NA,2,6,528,2,680,0,1,9,0,54,0,2,0,3125
2016,6,624,NA,1,5,420,0,587,0,0,9,0,35,0,2,0,3740
2016,7,538,NA,1,13,592,1,700,0,2,8,0,50,2,5,0,3174
2016,8,508,NA,1,14,508,4,756,0,1,10,0,52,0,4,0,3148
2016,9,456,NA,1,8,412,0,832,0,1,4,2,39,0,2,0,3001
2016,10,490,NA,2,10,396,1,981,0,2,6,0,26,0,4,0,2702
2016,11,419,NA,4,6,373,1,906,1,2,9,0,42,0,3,0,2382
2016,12,472,NA,4,2,306,2,858,1,2,7,0,26,0,1,0,2596
2016,13,449,NA,1,7,376,1,937,0,4,7,1,39,0,0,0,2530
2016,14,465,NA,0,12,290,2,807,0,1,7,1,29,2,2,0,2417
2016,15,475,NA,2,13,225,0,988,1,2,7,0,42,0,2,0,2383
2016,16,471,NA,7,13,231,0,1052,1,6,5,0,48,0,2,0,2487
2016,17,494,NA,1,12,244,0,1022,0,6,12,0,47,0,6,0,2520
2016,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
